land_size_m2,building_size_m2,bedrooms,bathrooms,city,price_in_rp
144.0,157.0,3.0,3.0, Bekasi,2150000000.0
144.0,157.0,3.0,3.0, Bekasi,2150000000.0
126.0,94.0,3.0,2.0, Bekasi,1200000000.0
114.0,228.0,2.0,3.0, Bekasi,1550000000.0
108.0,69.0,2.0,2.0, Bekasi,1250000000.0
60.0,29.0,2.0,1.0, Bekasi,168000000.0
144.0,77.0,3.0,1.0, Bekasi,1400000000.0
77.0,140.0,3.0,2.0, Bekasi,799000000.0
54.0,63.0,3.0,2.0, Bekasi,779000000.0
66.0,60.0,2.0,1.0, Bekasi,775000000.0
144.0,157.0,3.0,3.0, Bekasi,2150000000.0
179.0,56.0,2.0,2.0, Bekasi,1750000000.0
94.0,75.0,2.0,1.0, Bekasi,750000000.0
125.0,136.0,5.0,4.0, Bekasi,1250000000.0
94.0,70.0,3.0,2.0, Bekasi,870000000.0
126.0,80.0,2.0,2.0, Bekasi,1500000000.0
105.0,105.0,3.0,2.0, Bekasi,1500000000.0
325.0,200.0,4.0,4.0, Bekasi,4300000000.0
90.0,90.0,2.0,2.0, Bekasi,1300000000.0
90.0,90.0,2.0,2.0, Bekasi,1300000000.0
133.0,80.0,2.0,2.0, Bekasi,1800000000.0
36.0,60.0,3.0,1.0, Bekasi,520000000.0
84.0,56.0,2.0,2.0, Bekasi,1300000000.0
94.0,110.0,2.0,1.0, Bekasi,685000000.0
105.0,70.0,2.0,1.0, Bekasi,930000000.0
94.0,110.0,2.0,1.0, Bekasi,685000000.0
180.0,150.0,4.0,3.0, Bekasi,2100000000.0
60.0,45.0,3.0,1.0, Bekasi,520000000.0
60.0,45.0,3.0,1.0, Bekasi,520000000.0
119.0,63.0,2.0,1.0, Bekasi,1200000000.0
119.0,63.0,2.0,1.0, Bekasi,1200000000.0
131.0,225.0,4.0,3.0, Bekasi,1450000000.0
90.0,53.0,2.0,2.0, Bekasi,1200000000.0
131.0,225.0,4.0,3.0, Bekasi,1450000000.0
108.0,69.0,2.0,2.0, Bekasi,1400000000.0
96.0,70.0,2.0,1.0, Bekasi,620000000.0
144.0,110.0,2.0,2.0, Bekasi,1450000000.0
144.0,120.0,3.0,2.0, Bekasi,1800000000.0
160.0,260.0,3.0,2.0, Bekasi,1600000000.0
160.0,280.0,4.0,5.0, Bekasi,3000000000.0
160.0,280.0,4.0,5.0, Bekasi,3000000000.0
120.0,260.0,3.0,2.0, Bekasi,1600000000.0
144.0,120.0,3.0,2.0, Bekasi,1800000000.0
270.0,175.0,3.0,3.0, Bekasi,2700000000.0
108.0,69.0,2.0,2.0, Bekasi,1400000000.0
53.0,63.0,3.0,2.0, Bekasi,970000000.0
60.0,55.0,2.0,1.0, Bekasi,575000000.0
72.0,69.0,3.0,2.0, Bekasi,900000000.0
60.0,110.0,3.0,3.0, Bekasi,1250000000.0
72.0,42.0,3.0,1.0, Bekasi,525000000.0
70.0,38.0,2.0,1.0, Bekasi,510000000.0
92.0,120.0,2.0,2.0, Bekasi,895000000.0
135.0,110.0,4.0,3.0, Bekasi,2500000000.0
165.0,180.0,4.0,3.0, Bekasi,1650000000.0
94.0,75.0,1.0,1.0, Bekasi,690000000.0
78.0,54.0,2.0,1.0, Bekasi,750000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
60.0,40.0,2.0,2.0, Bekasi,42000000.0
77.0,150.0,3.0,3.0, Bekasi,1400000000.0
60.0,48.0,2.0,2.0, Bekasi,500000000.0
66.0,63.0,2.0,1.0, Bekasi,342000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
60.0,48.0,2.0,2.0, Bekasi,500000000.0
90.0,70.0,2.0,1.0, Bekasi,1150000000.0
72.0,60.0,2.0,1.0, Bekasi,599000000.0
200.0,90.0,3.0,2.0, Bekasi,1680000000.0
121.0,105.0,3.0,3.0, Bekasi,1560000000.0
84.0,77.0,3.0,3.0, Bekasi,1180000000.0
84.0,77.0,3.0,2.0, Bekasi,1180000000.0
95.0,60.0,3.0,2.0, Bekasi,990000000.0
84.0,91.0,3.0,2.0, Bekasi,800000000.0
72.0,40.0,2.0,1.0, Bekasi,718000000.0
60.0,64.0,3.0,2.0, Bekasi,1390000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
86.0,115.0,4.0,3.0, Bekasi,1200000000.0
86.0,115.0,3.0,3.0, Bekasi,1310000000.0
72.0,36.0,2.0,1.0, Bekasi,680000000.0
72.0,36.0,2.0,1.0, Bekasi,680000000.0
165.0,90.0,3.0,2.0, Bekasi,1200000000.0
72.0,36.0,2.0,1.0, Bekasi,680000000.0
72.0,36.0,2.0,1.0, Bekasi,680000000.0
165.0,90.0,3.0,2.0, Bekasi,1200000000.0
72.0,36.0,2.0,1.0, Bekasi,680000000.0
165.0,90.0,3.0,2.0, Bekasi,1200000000.0
60.0,36.0,2.0,1.0, Bekasi,390000000.0
70.0,41.0,2.0,1.0, Bekasi,455000000.0
125.0,65.0,3.0,2.0, Bekasi,1010000000.0
96.0,48.0,2.0,1.0, Bekasi,690000000.0
72.0,60.0,3.0,2.0, Bekasi,988000000.0
60.0,55.0,2.0,1.0, Bekasi,465000000.0
60.0,55.0,2.0,2.0, Bekasi,480000000.0
72.0,48.0,2.0,1.0, Bekasi,625000000.0
210.0,310.0,4.0,4.0, Bekasi,3000000000.0
84.0,77.0,3.0,2.0, Bekasi,1180000000.0
105.0,90.0,2.0,2.0, Bekasi,1080000000.0
90.0,70.0,2.0,1.0, Bekasi,1050000000.0
105.0,90.0,2.0,2.0, Bekasi,1080000000.0
90.0,70.0,2.0,1.0, Bekasi,1150000000.0
105.0,90.0,2.0,2.0, Bekasi,1080000000.0
105.0,90.0,2.0,2.0, Bekasi,1080000000.0
90.0,70.0,2.0,1.0, Bekasi,1150000000.0
90.0,70.0,2.0,1.0, Bekasi,1150000000.0
90.0,70.0,2.0,1.0, Bekasi,1150000000.0
84.0,77.0,3.0,3.0, Bekasi,1210000000.0
84.0,77.0,3.0,3.0, Bekasi,1180000000.0
90.0,70.0,2.0,1.0, Bekasi,1150000000.0
84.0,77.0,3.0,3.0, Bekasi,1180000000.0
89.0,52.0,2.0,1.0, Bekasi,968000000.0
165.0,180.0,4.0,3.0, Bekasi,1650000000.0
84.0,77.0,3.0,3.0, Bekasi,1180000000.0
80.0,55.0,2.0,1.0, Bekasi,720000000.0
84.0,105.0,4.0,3.0, Bekasi,1300000000.0
101.0,84.0,3.0,2.0, Bekasi,1190000000.0
84.0,77.0,3.0,2.0, Bekasi,1180000000.0
87.0,77.0,3.0,3.0, Bekasi,1300000000.0
80.0,55.0,2.0,1.0, Bekasi,600000000.0
70.0,45.0,2.0,1.0, Bekasi,500000000.0
82.0,72.0,3.0,3.0, Bekasi,1100000000.0
92.0,130.0,3.0,3.0, Bekasi,1280000000.0
216.0,300.0,3.0,4.0, Bekasi,3700000000.0
95.0,88.0,4.0,2.0, Bekasi,1070000000.0
52.0,36.0,2.0,1.0, Bekasi,476000000.0
70.0,120.0,3.0,3.0, Bekasi,968000000.0
70.0,65.0,3.0,2.0, Bekasi,884000000.0
95.0,140.0,4.0,3.0, Bekasi,1180000000.0
183.0,136.0,5.0,4.0, Bekasi,4040000000.0
180.0,172.0,3.0,3.0, Bekasi,1100000000.0
175.0,250.0,3.0,2.0, Bekasi,2250000000.0
115.0,113.0,3.0,2.0, Bekasi,1800000000.0
97.0,76.0,2.0,1.0, Bekasi,800000000.0
70.0,85.0,3.0,2.0, Bekasi,920000000.0
91.0,165.0,4.0,4.0, Bekasi,1970000000.0
178.0,110.0,3.0,3.0, Bekasi,1990000000.0
760.0,350.0,4.0,2.0, Bekasi,3950000000.0
154.0,150.0,4.0,3.0, Bekasi,1250000000.0
707.0,338.0,6.0,4.0, Bekasi,5300000000.0
75.0,80.0,3.0,3.0, Bekasi,1110000000.0
91.0,165.0,3.0,4.0, Bekasi,1870000000.0
118.0,156.0,3.0,3.0, Bekasi,1590000000.0
118.0,156.0,3.0,3.0, Bekasi,1620000000.0
64.0,47.0,2.0,1.0, Bekasi,500000000.0
78.0,54.0,2.0,1.0, Bekasi,750000000.0
65.0,53.0,2.0,2.0, Bekasi,600000000.0
97.0,70.0,2.0,1.0, Bekasi,799000000.0
97.0,70.0,2.0,1.0, Bekasi,799000000.0
97.0,70.0,2.0,1.0, Bekasi,799000000.0
96.0,80.0,3.0,2.0, Bekasi,959000000.0
70.0,70.0,3.0,2.0, Bekasi,774000000.0
80.0,90.0,3.0,2.0, Bekasi,995000000.0
112.0,71.0,2.0,2.0, Bekasi,1400000000.0
72.0,90.0,3.0,2.0, Bekasi,1050000000.0
100.0,70.0,3.0,2.0, Bekasi,975000000.0
72.0,50.0,2.0,1.0, Bekasi,620000000.0
72.0,80.0,3.0,2.0, Bekasi,959000000.0
100.0,66.0,3.0,2.0, Bekasi,875000000.0
72.0,50.0,2.0,1.0, Bekasi,600000000.0
42.0,63.0,3.0,2.0, Bekasi,807000000.0
60.0,50.0,3.0,1.0, Bekasi,580000000.0
63.0,45.0,2.0,1.0, Bekasi,679000000.0
72.0,80.0,3.0,2.0, Bekasi,900000000.0
70.0,90.0,3.0,2.0, Bekasi,849000000.0
75.0,66.0,3.0,2.0, Bekasi,880000000.0
65.0,58.0,2.0,2.0, Bekasi,695000000.0
60.0,36.0,2.0,1.0, Bekasi,465000000.0
42.0,62.0,2.0,2.0, Bekasi,857000000.0
72.0,45.0,2.0,1.0, Bekasi,650000000.0
175.0,140.0,4.0,3.0, Bekasi,145000000.0
300.0,250.0,4.0,4.0, Bekasi,1990000000.0
99.0,71.0,3.0,3.0, Bekasi,675000000.0
66.0,57.0,2.0,1.0, Bekasi,350000000.0
66.0,57.0,2.0,1.0, Bekasi,350000000.0
250.0,252.0,5.0,4.0, Bekasi,2790000000.0
250.0,252.0,5.0,4.0, Bekasi,2790000000.0
250.0,252.0,5.0,4.0, Bekasi,2790000000.0
78.0,54.0,2.0,1.0, Bekasi,750000000.0
70.0,42.0,2.0,1.0, Bekasi,400000000.0
175.0,133.0,4.0,3.0, Bekasi,1350000000.0
175.0,133.0,4.0,3.0, Bekasi,1350000000.0
78.0,54.0,2.0,1.0, Bekasi,750000000.0
60.0,40.0,2.0,1.0, Bekasi,550000000.0
78.0,54.0,3.0,2.0, Bekasi,700000000.0
63.0,45.0,2.0,1.0, Bekasi,682000000.0
200.0,300.0,3.0,3.0, Bekasi,2300000000.0
165.0,90.0,3.0,2.0, Bekasi,1200000000.0
382.0,350.0,4.0,3.0, Bekasi,4300000000.0
612.0,376.0,4.0,4.0, Bekasi,4500000000.0
112.0,65.0,3.0,2.0, Bekasi,1250000000.0
160.0,127.0,3.0,2.0, Bekasi,2300000000.0
160.0,127.0,3.0,2.0, Bekasi,2200000000.0
60.0,36.0,2.0,1.0, Bekasi,410000000.0
105.0,101.0,4.0,3.0, Bekasi,1960000000.0
66.0,42.0,2.0,2.0, Bekasi,875000000.0
60.0,58.0,2.0,2.0, Bekasi,695000000.0
140.0,170.0,4.0,3.0, Bekasi,1800000000.0
72.0,90.0,3.0,2.0, Bekasi,1050000000.0
72.0,90.0,3.0,2.0, Bekasi,1050000000.0
72.0,90.0,3.0,2.0, Bekasi,1050000000.0
72.0,90.0,3.0,2.0, Bekasi,1050000000.0
72.0,90.0,3.0,2.0, Bekasi,1050000000.0
